288.28,0.0,0.0,40,5545
289.36,0.0,0.0,75,4516
289.58,0.0,0.0,90,4767
290.13,0.0,0.0,90,5026
291.14,0.0,0.0,75,4918
291.72,0.0,0.0,1,5181
293.17,0.0,0.0,1,5584
293.86,0.0,0.0,1,6015
294.14,0.0,0.0,20,5791
293.1,0.0,0.0,20,4770
290.97,0.0,0.0,20,3539
289.38,0.0,0.0,1,2784
288.61,0.0,0.0,1,2361
287.16,0.0,0.0,1,1529
285.45,0.0,0.0,1,963
284.63,0.0,0.0,1,506
283.47,0.0,0.0,1,321
281.18,0.0,0.0,1,273
281.09,0.0,0.0,1,367
279.53,0.0,0.0,1,814
278.62,0.0,0.0,1,2718
278.23,0.0,0.0,1,5673
278.12,0.0,0.0,1,6511
282.48,0.0,0.0,1,5471
291.97,0.0,0.0,1,5097
293.23,0.0,0.0,1,4887
294.31,0.0,0.0,1,5337
295.17,0.0,0.0,1,5692
295.13,0.0,0.0,1,6137
293.66,0.0,0.0,20,4623
290.65,0.0,0.0,20,3591
288.19,0.0,0.0,20,2898
287.1,0.0,0.0,1,2637
286.25,0.0,0.0,1,1777
285.26,0.0,0.0,1,1015
284.55,0.0,0.0,1,598
283.47,0.0,0.0,1,369
283.17,0.0,0.0,1,312
282.04,0.0,0.0,1,367
281.69,0.0,0.0,1,835
281.32,0.0,0.0,1,2726
280.74,0.0,0.0,1,5689
280.57,0.0,0.0,1,6990
281.86,0.0,0.0,1,5985
284.98,0.0,0.0,1,5309
289.18,0.0,0.0,1,4603
291.55,0.0,0.0,1,4884
294.97,0.0,0.0,1,5104
296.38,0.0,0.0,1,5178
297.32,0.0,0.0,1,5501
298.17,0.0,0.0,1,5713
298.06,0.0,0.0,20,6292
297.67,0.0,0.0,20,6057
296.36,0.0,0.0,40,4907
293.85,0.0,0.0,40,3503
292.43,0.0,0.0,40,3037
291.77,0.0,0.0,75,2822
291.36,0.0,0.0,75,1992
291.12,0.0,0.0,75,1166
290.63,0.0,0.0,75,627
290.46,0.0,0.0,40,388
289.26,0.0,0.0,0,368
283.21,0.0,0.0,75,2489
282.24,0.0,0.0,90,5537
281.69,0.0,0.0,90,6628
280.57,0.0,0.0,90,5534
280.02,0.0,0.0,75,5403
280.11,0.0,0.0,75,4770
280.0,0.0,0.0,90,5217
280.53,0.0,0.0,90,5870
281.43,0.0,0.0,75,5967
281.78,0.0,0.0,90,6108
281.91,0.0,0.0,90,6128
281.73,0.0,0.0,90,6069
281.42,0.0,0.0,90,6169
280.87,0.0,0.0,90,5384
280.15,0.0,0.0,90,4063
279.78,0.0,0.0,90,3364
